file.hash.256,file.hash.md5,ip.port,url.domain,url.original
,,"""172.232.62.81:80""","""www-opmcm-gov-np.direct888.net""","""http://pmd.paknavy-gov.com/5751/1/8531/2/0/0/0/m/files-bc3cf7c3/file.rtf"""
,,"""8.219.50.196:443""","""chinghsiang.com""","""http://paknavy.paknavy.live/5516/1/4367/2/0/0/0/m/files-db71f6b3/file.rtf"""
,,"""79.141.164.222:443""","""cyber.pmd-offc.info""","""http://pmd.paknavy-gov.com:443/5751/1/8533/2/0/0/0/m/files-c6e52942/file.rtf"""
,,"""45.139.225.45:80""","""defence-lk.military-bd.org""","""http://pmd.paknavy-gov.com/5751/1/8529/2/0/0/0/m/files-f8ba0c1e/file.rtf"""
,,"""45.159.208.173:443""","""efes-mindef-gov-pk.dowmload.org""","""http://sppc.moma-pk.org/5281/1/4265/2/0/0/0/m/files-d2608a99/file.rtf"""
,,"""156.245.11.143:4782""","""efes-mindef-qov-pk.dowmload.org""","""http://slpa.mod-gov.org/5946/1/5799/2/0/0/0/m/files-03dd18bd/file.rtf"""
,,"""107.148.49.57:36218""","""floridaprotiles.com""","""http://slpa.mod-gov.org/5946/1/5804/2/0/0/0/m/files-c43dece3/file.rtf"""
,,"""62.109.58.86:3306""","""investigation04.session-out.com""","""http://sppc.moma-pk.org/5281/1/2302/2/0/0/0/m/files-01fd94b4/file.rtf"""
,,"""91.107.219.231:80""","""marthayfabrizio.com""","""http://slpa.mod-gov.org/5946/1/5797/2/0/0/0/m/files-875e140b/file.rtf"""
,,"""103.234.54.44:8082""","""mod-gov-bd.dowmload.co""","""http://slpa.mod-gov.org/5946/1/5798/2/0/0/0/m/files-c3178f3d/file.rtf"""
,,"""45.200.149.14:7443""","""mofa-gov-np.dirctt88.co""","""http://slpa.mod-gov.org/5946/1/5794/2/0/0/0/m/files-60cb1621/file.rtf"""
,,"""45.88.186.49:7707""","""mofa-gov-np.dirctt888.info""","""http://slpa.mod-gov.org/5946/1/5795/2/0/0/0/m/files-c9dddc54/file.rtf"""
,,"""45.88.186.49:6606""","""mofa-gov-pk.dowmload.info""","""http://slpa.mod-gov.org/5946/1/5796/2/0/0/0/m/files-97e02960/file.rtf"""
,,"""45.88.186.49:8808""","""mofa-gov-pk.download.info""","""http://slpa.mod-gov.org/5946/1/5791/2/0/0/0/m/files-bda6f896/file.rtf"""
,,"""178.208.169.59:7070""","""moitt-gov-pk.dytt88.co""","""http://slpa.mod-gov.org/5946/1/5792/2/0/0/0/m/files-da7756e4/file.rtf"""
,,"""42.228.212.217:5873""","""salary-cutting.session-out.com""","""http://slpa.mod-gov.org/5946/1/5793/2/0/0/0/m/files-f2d0617e/file.rtf"""
,,"""47.242.0.122:53""","""salary-cuxxing.session-out.com""","""http://slpa.mod-gov.org/5946/1/5789/2/0/0/0/m/files-8822f8ff/file.rtf"""
,,"""46.246.6.13:2404""","""sarabanmithnavvtni-mil.com""","""http://slpa.mod-gov.org/5946/1/5790/2/0/0/0/m/files-a3d0041a/file.rtf"""
,,"""179.43.171.197:3390""","""sarabanmithnavy.tni-mil.com""","""http://slpa.mod-gov.org/5946/1/5786/2/0/0/0/m/files-5def1d52/file.rtf"""
,,"""44.211.213.39:443""","""sgad-punjab-gov-pk.dirctt888.info""","""http://slpa.mod-gov.org/5946/1/5787/2/0/0/0/m/files-fb528413/file.rtf"""
,,"""39.109.122.249:2053""","""sl-navy.office-drive.live""","""http://slpa.mod-gov.org/5946/1/5788/2/0/0/0/m/files-3acec3be/file.rtf"""
,,"""185.43.4.69:8001""","""sl-navy.officedrive.live""","""http://slpa.mod-gov.org/5946/1/5783/2/0/0/0/m/files-a26663eb/file.rtf"""
,,"""47.121.190.121:81""","""slpa.mod-gov.org""","""http://slpa.mod-gov.org/5946/1/5784/2/0/0/0/m/files-94153639/file.rtf"""
,,"""85.31.47.148:80""","""sppc.moma-pk.org""","""http://slpa.mod-gov.org/5946/1/5785/2/0/0/0/m/files-76f11745/file.rtf"""
,,"""206.238.179.114:8088""","""srilanka-navy.lforvk.com""","""http://slpa.mod-gov.org/5946/1/5781/2/0/0/0/m/files-62caea91/file.rtf"""
,,"""93.113.25.206:443""","""srilankanavy.ksew.org""","""http://slpa.mod-gov.org/5946/1/5782/2/0/0/0/m/files-78d7e141/file.rtf"""
,,"""113.45.177.211:81""","""stae-org-mz.document-viewer.live""","""http://slpa.mod-gov.org/5946/1/5778/2/0/0/0/m/files-27d5c7d3/file.rtf"""
,,"""38.14.255.134:2052""","""suezcanal.portdedjibouti.live""","""http://slpa.mod-gov.org/5946/1/5779/2/0/0/0/m/files-2f2e186d/file.rtf"""
,,"""154.21.200.151:8888""","""msacn.ntcpk.net""","""http://slpa.mod-gov.org/5946/1/5780/2/0/0/0/m/files-20bba5af/file.rtf"""
,,"""77.111.101.78:1995""","""mtss.bol-south.org""","""http://slpa.mod-gov.org/5946/1/5776/2/0/0/0/m/files-175c56e7/file.rtf"""
,,"""190.123.44.73:1995""","""navy-lk.direct888.net""","""http://slpa.mod-gov.org/5946/1/5777/2/0/0/0/m/files-7f2e758b/file.rtf"""
,,"""194.32.142.21:31337""","""navy-mil-bd.jmicc.xyz""","""http://slpa.mod-gov.org/5946/1/5773/2/0/0/0/m/files-5a31d681/file.rtf"""
,,"""118.25.85.198:2222""","""nima.ppra.live""","""http://slpa.mod-gov.org/5946/1/5774/2/0/0/0/m/files-12eca223/file.rtf"""
,,"""201.95.84.40:8081""","""notice.portdedjibouti.live""","""http://slpa.mod-gov.org/5946/1/5775/2/0/0/0/m/files-fca3cc50/file.rtf"""
,,"""194.180.191.24:443""","""office.document-viewer.info""","""http://slpa.mod-gov.org/5946/1/5770/2/0/0/0/m/files-2d21c32e/file.rtf"""
,,"""134.122.155.39:15091""","""opmcm-gov-np.fia-gov.net""","""http://slpa.mod-gov.org/5946/1/5771/2/0/0/0/m/files-5995311a/file.rtf"""
,,"""193.161.193.99:59950""","""paknavy-gov-pk.dirctt888.info""","""http://slpa.mod-gov.org/5946/1/5772/2/0/0/0/m/files-84c4942a/file.rtf"""
,,"""216.9.224.157:7707""","""paknavy-gov-pk.downld.net""","""http://sl-navy.officedrive.live/45/1/334/2/0/0/0/m/filesfe9dade2/file.rtf"""
,,"""194.59.30.156:31337""","""paknavy-gov-pkp.downld.net""","""http://slpa.mod-gov.org/5946/1/5769/2/0/0/0/m/files-2f6b9c9a/file.rtf"""
,,"""81.161.238.107:2404""","""paknavy.com""","""http://sarabanmithnavvtni-mil.com/importanmail/78571/file.rtf"""
,,"""189.1.244.101:7777""","""paknavy.defpak.org""","""http://sarabanmithnavy.tni-mil.com/importanmail/785871/file.rtf"""
,,"""77.90.22.45:15352""","""paknavy.edu-cx.org""","""http://sl-navy.office-drive.live/45/1/334/2/0/0/0/m/files-fe9dade2/file.rtf"""
